编号,葡萄酒英文名,葡萄酒中文名,官方网站,类型(Red Wine红葡萄酒/White Wine白葡萄酒/Rose Wine粉红葡萄酒/Sparking Wine起泡酒/Port Wine波特酒/Sherry Wine雪利酒/Fortified Wine加强酒/Sweet Wine甜酒/Others其它),产区（France/Bordeaux/Haut-Médoc/Margaux）,产区（法国/波尔多/上梅多克/玛歌）,酒庄英文名,酒庄中文名,年份,适饮年份（2001-2002）,酒精度,葡萄品种／含量,容量,评分
188,Meo-Camuzet Fixin Clos du Chapitre,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Fixin/Fixin Premier Cru Clos-du-Chapitre,法国/勃艮第/夜丘/菲尚/菲尚一级园 Clos-du-Chapitre,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
189,Meo-Camuzet Clos Saint-Philibert,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Bourgogne Hautes-côtes de Nuits/Regional,法国/勃艮第/夜丘/Bourgogne Hautes-côtes de Nuits/大区级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
190,Meo-Camuzet Vosne-Romanée,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Vosne-Romanée/Village,法国/勃艮第/夜丘/维森-罗曼尼/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
191,Meo-Camuzet Chambolle-Musigny,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Chambolle-Musigny/Village,法国/勃艮第/夜丘/香波-木西尼/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
192,Meo-Camuzet Nuits-Saint-Georges,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Nuits-Saint-Georges/Village,法国/勃艮第/夜丘/夜圣乔治/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
193,Meo-Camuzet Marsannay,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Marsannay/Village,法国/勃艮第/夜丘/马萨内/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
194,Meo-Camuzet Morey Saint-Denis,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Morey-Saint-Denis/Village,法国/勃艮第/夜丘/莫黑-圣丹尼/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
195,Meo-Camuzet Fixin,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Fixin/Village,法国/勃艮第/夜丘/菲尚/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
196,Meo-Camuzet Gevrey-Chambertin ,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Côte de Nuits/Gevrey-Chambertin/Village,法国/勃艮第/夜丘/吉菲-香贝丹/村庄级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
197,Meo-Camuzet Bourgogne,,http://www.meo-camuzet.com/,红葡萄酒,France/Burgundy/Bourgogne/Regional,法国/勃艮第/勃艮第/大区级,Domaine Méo-Camuzet,,2008,,,Pinot Noir/100%,750,
198,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2008,,,Chardonnay/100%,750,
199,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2007,,,Chardonnay/100%,750,
200,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2006,,,Chardonnay/100%,750,
201,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2005,,,Chardonnay/100%,750,
202,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2004,,,Chardonnay/100%,750,
203,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2003,,,Chardonnay/100%,750,
204,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2002,,,Chardonnay/100%,750,
205,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2001,,,Chardonnay/100%,750,
206,Art Series Chardonnay,,http://leeuwinestate.com.au/,白葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Leeuwin Estate,,2000,,,Chardonnay/100%,750,
207,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2009,,,"Cabernet Sauvignon/88%
Cabernet Franc/6%
Merlot/4%
Malbec/2%",750,
208,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2008,,,"Cabernet Sauvignon/86%
Merlot/14%",750,
209,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2007,,,"Cabernet Sauvignon/84%
Merlot/8%
Cabernet Franc/4%
Petit Verdot/4%",750,
210,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2006,,,"Cabernet Sauvignon/71%
Merlot/19%
Petit Verdot/5%
Cabernet Franc/3%
Malbec/2%",750,
211,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2005,,,"Cabernet Sauvignon/74%
Merlot/16%
Malbec/5%
Cabernet Franc/4%
Petit Verdot/1%",750,
212,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2004,,,"Cabernet Sauvignon/84%
Merlot/13%
Cabernet Franc/3%",750,
213,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2003,,,"Cabernet Sauvignon/72%
Merlot/20%
Malbec/4%
Petit Verdot/4%",750,
214,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2002,,,"Cabernet Sauvignon/80%
Merlot/12%
Petit Verdot/8%",750,
215,Diana Madeline,,http://cullenwines.com.au/,红葡萄酒,Australia/Western Australia/Margaret River,澳大利亚/西澳/玛格丽特河,Cullen Wines,,2001,,,"Cabernet Sauvignon/75%
Merlot/25%",750,
216,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2008,,,"Cabernet Sauvignon/86%
Petit Verdot/8%
Merlot/4%
Cabernet Franc/1%
Malbec/1%",750,
217,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2007,,,"Cabernet Sauvignon/79%
Merlot/8%
Petit Verdot/6%
Cabernet Franc/6%
Malbec/1%",750,
218,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2006,,,"Cabernet Sauvignon/77%
Merlot/12%
Cabernet Franc/5%
Petit Verdot/3%
Malbec/3%",750,
219,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2005,,,"Cabernet Sauvignon/88%
Merlot/5%
Cabernet Franc/3%
Petit Verdot/3%
Malbec/1%",750,
220,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2004,,,"Cabernet Sauvignon/86%
Merlot/7%
Petit Verdot/4%
Cabernet Franc/2%
Malbec/1%",750,
221,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2003,,,"Cabernet Sauvignon/91%
Cabernet Franc/3%
Petit Verdot/3%
Merlot/2%
Malbec/1%",750,
222,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2002,,,"Cabernet Sauvignon/86%
Merlot/6%
Cabernet Franc/3%
Malbec/3%
Petit Verdot/2%
",750,
223,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2001,,,"Cabernet Sauvignon/87%
Merlot/6%
Malbec/3%
Cabernet Franc/2%
Petit Verdot/2%
",750,
224,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,2000,,,"Cabernet Sauvignon/84%
Merlot/6%
Cabernet Franc/5%
Malbec/3%
Petit Verdot/2%
",750,
225,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1999,,,"Cabernet Sauvignon/84%
Merlot/7%
Cabernet Franc/5%
Malbec/3%
Petit Verdot/1%
",750,
226,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1998,,,"Cabernet Sauvignon/91%
Cabernet Franc/7%
Merlot/1%
Malbec/1%
Petit Verdot/1%
",750,
227,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1997,,,"Cabernet Sauvignon/82%
Cabernet Franc/8%
Merlot/5%
Malbec/4%
Petit Verdot/1%
",750,
228,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1996,,,"Cabernet Sauvignon/86%
Cabernet Franc/8%
Merlot/3%
Malbec/3%",750,
229,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1995,,,"Cabernet Sauvignon/86%
Cabernet Franc/7%
Merlot/5%
Malbec/2%",750,
230,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1994,,,"Cabernet Sauvignon/93%
Cabernet Franc/4%
Merlot/2%
Malbec/1%",750,
231,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1993,,,"Cabernet Sauvignon/89%
Cabernet Franc/7%
Merlot/4%",750,
232,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1992,,,"Cabernet Sauvignon/89%
Cabernet Franc/8%
Merlot/3%",750,
233,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1991,,,"Cabernet Sauvignon/93%
Cabernet Franc/6%
Merlot/1%",750,
234,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1990,,,"Cabernet Sauvignon/87%
Cabernet Franc/10%
Merlot/3%",750,
235,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1989,,,"Cabernet Sauvignon/97%
Merlot/2%
Cabernet Franc/1%",750,
236,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1988,,,"Cabernet Sauvignon/85%
Cabernet Franc/13%
Merlot/2%",750,
237,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1987,,,"Cabernet Sauvignon/96%
Cabernet Franc/3%
Merlot/1%",750,
238,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1986,,,"Cabernet Sauvignon/87%
Cabernet Franc/9%
Merlot/4%",750,
239,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1985,,,"Cabernet Sauvignon/90%
Cabernet Franc/4%
Merlot/6%",750,
240,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1984,,,"Cabernet Sauvignon/97%
Cabernet Franc/3%",750,
241,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1983,,,"Cabernet Sauvignon/80%
Cabernet Franc/13%
Merlot/7%",750,
242,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1982,,,"Cabernet Sauvignon/82%
Cabernet Franc/16%
Merlot/2%",750,
243,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1981,,,"Cabernet Sauvignon/93%
Cabernet Franc/7%",750,
244,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1980,,,"Cabernet Sauvignon/96%
Cabernet Franc/4%",750,
245,Opus One,作品一号/傲翁一号/一号乐章,http://www.opusonewinery.com/,红葡萄酒,USA/California/Napa Valley/Oakville,美国/加州/纳帕谷/Oakville,Opus One,,1979,,,"Cabernet Sauvignon/80%
Cabernet Franc/16%
Merlot/4%",750,
246,Duval Leroy NV,,http://www.duval-leroy.com/,起泡酒,France/Champagne,法国/香槟,Duval Leroy,,NV,,,,750,
247,Aziano,,http://www.ruffino.com/,红葡萄酒,Italy/Tuscany/Chianti Classico,意大利/托斯坎纳/Chianti Classico,Ruffino,,2003,,13,Sangiovese/100%,750,
248,Aziano,,http://www.ruffino.com/,红葡萄酒,Italy/Tuscany/Chianti Classico,意大利/托斯坎纳/Chianti Classico,Ruffino,,2004,,13,Sangiovese/100%,750,
249,Aziano,,http://www.ruffino.com/,红葡萄酒,Italy/Tuscany/Chianti Classico,意大利/托斯坎纳/Chianti Classico,Ruffino,,2005,,12.5,"Sangiovese/90％
Others/10%",750,
250,Aziano,,http://www.ruffino.com/,红葡萄酒,Italy/Tuscany/Chianti Classico,意大利/托斯坎纳/Chianti Classico,Ruffino,,2006,,12.5,"Sangiovese/90％
Others/10%",750,
251,Aziano,,http://www.ruffino.com/,红葡萄酒,Italy/Tuscany/Chianti Classico,意大利/托斯坎纳/Chianti Classico,Ruffino,,2007,,13,"Sangiovese/80%
Canaiolo and Merlot/20%",750,
252,Aziano,,http://www.ruffino.com/,红葡萄酒,Italy/Tuscany/Chianti Classico,意大利/托斯坎纳/Chianti Classico,Ruffino,,2008,,13,"Sangiovese/80%
Canaiolo and Merlot/20%",750,
253,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2008,,13.5,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
254,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2007,,13.5,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
255,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2006,,13.5,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
256,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2005,,13,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
257,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2004,,13,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
258,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2003,,13.5,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
259,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2002,,13,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
260,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2001,,13,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
261,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,2000,,,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
262,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,1999,,,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
263,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,1998,,,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
264,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi,,1997,,,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
265,Nipozzano Riserva,,http://www.frescobaldi.it/,红葡萄酒,Italy/Tuscany/Chianti Rufina,意大利/托斯坎纳/Chianti Rufina,Marchesi de' Frescobaldi ,,1996,,,"Sangiovese 90%
Malvasia nera, Colorino, Merlot,Cabernet Sauvignon/10%",750,
266,Duckhorn Napa Valley Merlot,,http://www.duckhorn.com/,红葡萄酒,USA/California/Napa Valley,美国/加州/纳帕谷,Duckhorn Vineyard,,2009,,14.5,"Merlot/84%
Cabernet Sauvignon/10%
Cabernet Franc/6%",750,
267,Duckhorn Napa Valley Merlot,,http://www.duckhorn.com/,红葡萄酒,USA/California/Napa Valley,美国/加州/纳帕谷,Duckhorn Vineyard,,2008,,14.5,"Merlot/86%
Cabernet Sauvignon/9.5%
Petit Verdot/3.5%
Cabernet Franc/1%",750,
268,Duckhorn Napa Valley Merlot,,http://www.duckhorn.com/,红葡萄酒,USA/California/Napa Valley,美国/加州/纳帕谷,Duckhorn Vineyard,,2007,,14.5,"Merlot/89%
Cabernet Sauvignon/10%
Petit Verdot/1%",750,
269,Duckhorn Napa Valley Merlot,,http://www.duckhorn.com/,红葡萄酒,USA/California/Napa Valley,美国/加州/纳帕谷,Duckhorn Vineyard,,2006,,14.5,"Merlot/96%
Cabernet Sauvignon/2%
Petit Verdot/2%",750,
270,Duckhorn Napa Valley Merlot,,http://www.duckhorn.com/,红葡萄酒,USA/California/Napa Valley,美国/加州/纳帕谷,Duckhorn Vineyard,,2005,,14.5,"Merlot/86%
Cabernet Sauvignon/10%
Petit Verdot/3%
Cabernet Franc/1%",750,
271,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,1995,,13,"Cabernet Sauvignon/70%
Merlot y Carmenere/30%",750,
272,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,1996,,12.7,"Cabernet Sauvignon/91%
Carmenere/9%",750,
273,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,1997,,14.7,"Cabernet Sauvignon/84%
Carmenere/16%",750,
274,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,1998,,13.8,"Cabernet Sauvignon/90%
Carmenere/5%
Merlot/5%",750,
275,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,1999,,14.2,"Cabernet Sauvignon/75%
Merlot/16%
Carmenere/9%",750,
276,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2000,,14,"Cabernet Sauvignon/77%
Merlot/17.4%
Carmenere/5.6%",750,
277,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2001,,14.3,"Cabernet Sauvignon/74.9%
Merlot/15.1%
Cabernet Franc/6.3%
Carmenere/3.7%",750,
278,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2002,,14,"Cabernet Sauvignon/70.4%
Merlot/19.8%
Carmenere/9.8%",750,
279,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2003,,14.5,"Cabernet Sauvignon/52%
Merlot/40%
Carmenere/6%
Cabernet Franc/2%",750,
280,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2004,,14.5,"Cabernet Sauvignon/51%
Merlot/35%
Carmenere/6%
Cabernet Franc/5%
Petit Verdot/3%",750,
281,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2005,,14.3,"Cabernet Sauvignon/57%
Merlot/25%
Carmenere/9%
Cabernet Franc/6%
Petit Verdot/3%",750,
282,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2006,,14.5,"Cabernet Sauvignon/55%
Merlot/16%
Petit Verdot/13%
Carmenere/10%
Cabernet Franc/6%",750,
283,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2007,,14.5,"Cabernet Sauvignon/65%
Carmenere/26%
Cabernet Franc/5%
Syrah/3%
Merlot/1%",750,
284,Seña,桑雅,http://www.sena.cl/,红葡萄酒,Chile/Aconcagua,智利/阿空喀瓜,Seña,桑雅,2008,,14.5,"Cabernet Sauvignon/57%
Carmenere/20%
Merlot/10%
Petit Verdot/8%
Cabernet Franc/5%",750,
285,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1951,,13.5,Shiraz/100%,750,
286,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1952,,,Shiraz/100%,750,
287,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1953,,12.8,"Shiraz/87%
Cabernet Sauvignon/13%",750,
288,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1954,,13.2,"Shiraz/98%
Cabernet Sauvignon/2%",750,
289,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1955,,12.6,"Shiraz/90%
Cabernet Sauvignon/10%",750,
290,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1956,,13,"Shiraz/90%
Cabernet Sauvignon/10%",750,
291,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1957,,12.6,"Shiraz/
Cabernet Sauvignon/",750,
292,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1958,,12.6,"Shiraz/
Cabernet Sauvignon/",750,
293,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1959,,12.5,"Shiraz/90%
Cabernet Sauvignon/10%",750,
294,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1960,,12.8,"Shiraz/92%
Cabernet Sauvignon/8%",750,
295,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1961,,12.7,"Shiraz/88%
Cabernet Sauvignon/12%",750,
296,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1962,-2018,12.2,"Shiraz/87%
Cabernet Sauvignon/13%",750,
297,Grange Bin 95,葛兰许,http://www.penfolds.com/,红葡萄酒,Australia/South Australia,澳大利亚/南澳,Penfolds,奔富,1963,-2018,13.3,Shiraz/100%,750,
